0.000000,-0.650000,0.000000,1.800000,0.000000,0.420000,0.000000
0.000000,-0.650000,0.000000,1.800000,0.000000,0.420000,0.000000
0.062832,-0.649353,-0.084480,1.798759,0.008934,0.421323,-0.059480
0.125664,-0.650995,-0.167660,1.792417,0.018285,0.425831,-0.118028
0.188496,-0.655750,-0.251297,1.784680,0.027084,0.430144,-0.176879
0.251327,-0.660418,-0.333526,1.769456,0.035264,0.440882,-0.234147
0.314159,-0.667090,-0.417116,1.752067,0.042316,0.450544,-0.291587
0.376991,-0.674783,-0.498191,1.727863,0.048398,0.466732,-0.346629
0.439823,-0.684675,-0.577816,1.700397,0.053263,0.484233,-0.400130
0.502655,-0.695950,-0.656637,1.668314,0.056351,0.503384,-0.451950
0.565487,-0.708226,-0.732682,1.630031,0.057876,0.527207,-0.500694
0.628319,-0.734582,-0.794968,1.601905,0.028424,0.546455,-0.592202
0.649399,-0.756406,-0.795117,1.600529,-0.020919,0.549739,-0.683741
0.657690,-0.767564,-0.784878,1.613938,-0.061339,0.540521,-0.751259
0.669707,-0.784909,-0.779057,1.629320,-0.102108,0.533123,-0.822901
0.674942,-0.797551,-0.769798,1.646191,-0.143454,0.523734,-0.889014
0.687986,-0.815446,-0.766347,1.661234,-0.185055,0.517554,-0.961013
0.697161,-0.829502,-0.761282,1.675713,-0.226748,0.511661,-1.029121
0.713186,-0.848984,-0.760979,1.688688,-0.268838,0.508699,-1.103198
0.721919,-0.863025,-0.757055,1.703072,-0.310953,0.503541,-1.171069
0.738712,-0.884477,-0.758629,1.717025,-0.353870,0.499901,-1.246790
0.693530,-0.839104,-0.703809,1.730950,-0.347370,0.482005,-1.198111
0.643392,-0.797747,-0.634980,1.730463,-0.336095,0.484177,-1.142796
0.586748,-0.760123,-0.561082,1.734549,-0.329696,0.474933,-1.084043
0.529535,-0.719467,-0.480319,1.716490,-0.324122,0.491283,-1.023455
0.479351,-0.685843,-0.403605,1.695831,-0.323214,0.505765,-0.967995
0.419872,-0.653748,-0.318861,1.677086,-0.328711,0.515669,-0.904544
0.367744,-0.621011,-0.236489,1.642338,-0.336422,0.540728,-0.845437
0.307478,-0.587687,-0.145434,1.604035,-0.352474,0.567399,-0.778239
0.245706,-0.556116,-0.051123,1.563444,-0.376264,0.593172,-0.707955
0.204266,-0.528801,0.026273,1.519963,-0.397279,0.619112,-0.655798
0.195327,-0.525503,0.038662,1.514562,-0.403436,0.621915,-0.647106
0.201373,-0.523629,0.034045,1.508249,-0.399417,0.628998,-0.653640
0.201054,-0.525001,0.033675,1.511486,-0.399783,0.625304,-0.653008
0.201222,-0.525593,0.033226,1.512812,-0.399770,0.623757,-0.653070
0.201102,-0.524932,0.033613,1.511410,-0.399722,0.625307,-0.653017
0.201394,-0.524972,0.033325,1.511413,-0.399563,0.625294,-0.653332
0.201078,-0.525227,0.033515,1.512053,-0.399785,0.624598,-0.652951
0.201461,-0.524713,0.033366,1.510845,-0.399484,0.625913,-0.653440
0.201235,-0.525085,0.033439,1.511684,-0.399673,0.625014,-0.653145
0.201737,-0.524991,0.032972,1.511407,-0.399340,0.625251,-0.653646
0.264569,-0.548944,-0.047524,1.541140,-0.396890,0.610797,-0.777587
0.327400,-0.568967,-0.125935,1.557523,-0.399905,0.603676,-0.902339
0.390232,-0.591669,-0.201498,1.572385,-0.403767,0.595856,-1.020508
0.453064,-0.617059,-0.274496,1.584581,-0.411213,0.590792,-1.136492
0.515896,-0.644446,-0.345240,1.591546,-0.423861,0.591411,-1.253635
0.578728,-0.675843,-0.414147,1.596947,-0.441430,0.592363,-1.371742
0.641560,-0.709547,-0.479562,1.595916,-0.462789,0.598960,-1.489924
0.704391,-0.747158,-0.541333,1.589908,-0.488131,0.609750,-1.610116
0.767223,-0.788412,-0.598663,1.577678,-0.516918,0.625458,-1.733104
