0.695531,-0.800403,-0.681006,1.660088,-0.331371,0.527957,-1.186254
0.679077,-0.788248,-0.660472,1.662417,-0.329401,0.525020,-1.168623
0.664005,-0.775732,-0.639860,1.660690,-0.327094,0.526891,-1.151620
0.647961,-0.762978,-0.618549,1.659257,-0.325360,0.527830,-1.133947
0.632258,-0.751116,-0.597064,1.657291,-0.323794,0.529393,-1.116537
0.615921,-0.739808,-0.575193,1.656535,-0.322972,0.529009,-1.098938
0.599111,-0.727542,-0.552347,1.653108,-0.322101,0.531604,-1.080452
0.584421,-0.717402,-0.531013,1.650572,-0.321669,0.532844,-1.064011
0.566764,-0.706883,-0.507505,1.649395,-0.322107,0.532226,-1.045265
0.551426,-0.694966,-0.484743,1.642364,-0.321930,0.538085,-1.027601
0.534422,-0.684098,-0.460921,1.638012,-0.322954,0.540561,-1.009038
0.519267,-0.674250,-0.438194,1.632718,-0.323825,0.544032,-0.991673
0.505966,-0.664558,-0.416701,1.625961,-0.324686,0.548731,-0.975698
0.487634,-0.655057,-0.391491,1.622716,-0.327452,0.549242,-0.955835
0.470312,-0.643577,-0.366206,1.613980,-0.329937,0.555619,-0.936272
0.454134,-0.633065,-0.341605,1.605199,-0.332717,0.561960,-0.917609
0.439771,-0.623221,-0.318388,1.596095,-0.335512,0.568292,-0.900367
0.422928,-0.614951,-0.293536,1.591047,-0.339819,0.569888,-0.880941
0.411734,-0.604419,-0.272212,1.577562,-0.342027,0.580541,-0.866019
0.394043,-0.596591,-0.246424,1.572960,-0.347821,0.581131,-0.845583
0.380913,-0.585894,-0.223182,1.559276,-0.351614,0.591533,-0.828888
0.361104,-0.576198,-0.194550,1.550669,-0.359196,0.596232,-0.806182
0.348229,-0.565969,-0.171079,1.536561,-0.364011,0.606753,-0.789659
0.337589,-0.555928,-0.149727,1.522273,-0.368158,0.616756,-0.774801
0.318269,-0.549209,-0.121452,1.517909,-0.378125,0.616408,-0.751900
0.306848,-0.536496,-0.098208,1.497671,-0.383107,0.632433,-0.736455
